,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
9,saad,2024-07-23 17:51:20.484545,0.555,2.321887731552124,0.0,10.0,10690,0.575188398361206,0.21149744407259766,2.2469,464.203,58.304,10690,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning
10,saad,2024-07-23 17:51:20.484545,0.555,2.321887731552124,0.0,10.0,10690,0.575188398361206,0.21149744407259766,2.2644,460.604,57.851,10690,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning
0,saad,2024-07-23 17:51:20.484545,0.5836,6.757364749908447,4.5e-05,1.0,1069,0.5366894602775574,0.34117870082655233,2.5335,411.686,51.707,1069,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter
1,saad,2024-07-23 17:51:20.484545,0.4754,3.715471029281616,4e-05,2.0,2138,0.4678078293800354,0.44901297256309236,2.5135,414.955,52.118,2138,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter
2,saad,2024-07-23 17:51:20.484545,0.3874,3.637953281402588,3.5e-05,3.0,3207,0.5471172332763672,0.49417507681091927,2.5067,416.082,52.26,3207,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter
3,saad,2024-07-23 17:51:20.484545,0.3186,1.165209174156189,3e-05,4.0,4276,0.6855134963989258,0.49799539554804517,2.5073,415.992,52.248,4276,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter
4,saad,2024-07-23 17:51:20.484545,0.284,20.123947143554688,2.5e-05,5.0,5345,0.6943761110305786,0.4957241515216811,2.5243,413.177,51.895,5345,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter
5,saad,2024-07-23 17:51:20.484545,0.2497,33.763587951660156,2e-05,6.0,6414,0.8274139761924744,0.5110339437874821,2.4899,418.889,52.612,6414,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter
6,saad,2024-07-23 17:51:20.484545,0.1961,15.99660873413086,1.5e-05,7.0,7483,1.0101864337921143,0.4917552463505288,2.495,418.044,52.506,7483,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter
7,saad,2024-07-23 17:51:20.484545,0.1677,0.12921039760112762,1e-05,8.0,8552,0.9628702402114868,0.5241753618868132,2.5059,416.215,52.276,8552,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter
8,saad,2024-07-23 17:51:20.484545,0.1401,0.08483860641717911,5e-06,9.0,9621,1.0507131814956665,0.516230230689141,2.502,416.869,52.358,9621,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter
9,saad,2024-07-23 17:51:20.484545,0.1151,0.9394037127494812,0.0,10.0,10690,1.0848197937011719,0.5070207143299597,2.5094,415.644,52.205,10690,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter
10,saad,2024-07-23 17:51:20.484545,0.1151,0.9394037127494812,0.0,10.0,10690,1.0848197937011719,0.5070207143299597,2.4955,417.952,52.495,10690,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter
0,saad,2024-07-23 17:51:20.484545,0.5858,1.444145679473877,4.5e-05,1.0,1069,0.5751328468322754,0.153082762886948,2.1457,486.087,61.052,1069,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus
1,saad,2024-07-23 17:51:20.484545,0.5616,1.5652885437011719,4e-05,2.0,2138,0.5662166476249695,0.2788201378911936,2.1087,494.621,62.124,2138,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus
2,saad,2024-07-23 17:51:20.484545,0.551,2.9285881519317627,3.5e-05,3.0,3207,0.5580461025238037,0.30441767981754264,2.1267,490.433,61.598,3207,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus
3,saad,2024-07-23 17:51:20.484545,0.5446,1.5876137018203735,3e-05,4.0,4276,0.5962780714035034,0.24834408358157473,2.1279,490.166,61.564,4276,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus
4,saad,2024-07-23 17:51:20.484545,0.5427,4.386198997497559,2.5e-05,5.0,5345,0.5848739743232727,0.26614690037715455,2.1219,491.547,61.738,5345,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus
5,saad,2024-07-23 17:51:20.484545,0.5382,2.6399998664855957,2e-05,6.0,6414,0.5596936941146851,0.33664423904924584,2.1215,491.643,61.75,6414,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus
6,saad,2024-07-23 17:51:20.484545,0.5346,2.0790023803710938,1.5e-05,7.0,7483,0.5625509023666382,0.33419605125980245,2.1254,490.721,61.634,7483,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus
7,saad,2024-07-23 17:51:20.484545,0.5342,3.707429885864258,1e-05,8.0,8552,0.5581670999526978,0.3396154119450817,2.108,494.776,62.143,8552,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus
8,saad,2024-07-23 17:51:20.484545,0.5318,3.424797296524048,5e-06,9.0,9621,0.5564004778862,0.3396154119450817,2.1218,491.575,61.741,9621,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus
9,saad,2024-07-23 17:51:20.484545,0.5323,2.1645593643188477,0.0,10.0,10690,0.5607894659042358,0.33664423904924584,2.1937,475.445,59.716,10690,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus
10,saad,2024-07-23 17:51:20.484545,0.5323,2.1645593643188477,0.0,10.0,10690,0.5607894659042358,0.33664423904924584,2.1597,482.927,60.655,10690,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus
0,saad,2024-07-23 17:51:20.484545,0.5484,2.885500192642212,4.5e-05,1.0,1069,0.519795298576355,0.40345980880864174,3.0172,345.69,43.418,1069,distilbert/distilbert-base-uncased,glue,cola,True,unipelt
1,saad,2024-07-23 17:51:20.484545,0.4811,1.801091194152832,4e-05,2.0,2138,0.47357356548309326,0.48132218463706594,2.9102,358.394,45.014,2138,distilbert/distilbert-base-uncased,glue,cola,True,unipelt
2,saad,2024-07-23 17:51:20.484545,0.441,3.2883999347686768,3.5e-05,3.0,3207,0.5099310874938965,0.4760180026275787,2.943,354.397,44.512,3207,distilbert/distilbert-base-uncased,glue,cola,True,unipelt
3,saad,2024-07-23 17:51:20.484545,0.4146,2.9905850887298584,3e-05,4.0,4276,0.5273952484130859,0.4693139472583124,2.8522,365.688,45.93,4276,distilbert/distilbert-base-uncased,glue,cola,True,unipelt
4,saad,2024-07-23 17:51:20.484545,0.3903,8.863099098205566,2.5e-05,5.0,5345,0.5164686441421509,0.4857615494749571,2.8236,369.384,46.394,5345,distilbert/distilbert-base-uncased,glue,cola,True,unipelt
5,saad,2024-07-23 17:51:20.484545,0.3746,5.1390862464904785,2e-05,6.0,6414,0.5153815150260925,0.5188823116947865,2.8772,362.51,45.531,6414,distilbert/distilbert-base-uncased,glue,cola,True,unipelt
6,saad,2024-07-23 17:51:20.484545,0.3495,6.3209638595581055,1.5e-05,7.0,7483,0.5485329627990723,0.5025414388334151,2.9114,358.244,44.995,7483,distilbert/distilbert-base-uncased,glue,cola,True,unipelt
7,saad,2024-07-23 17:51:20.484545,0.3309,1.882978081703186,1e-05,8.0,8552,0.585099995136261,0.5200220944545176,2.857,365.065,45.852,8552,distilbert/distilbert-base-uncased,glue,cola,True,unipelt
8,saad,2024-07-23 17:51:20.484545,0.3157,7.554539203643799,5e-06,9.0,9621,0.5819041728973389,0.5073964394419983,2.87,363.411,45.644,9621,distilbert/distilbert-base-uncased,glue,cola,True,unipelt
9,saad,2024-07-23 17:51:20.484545,0.3159,9.843120574951172,0.0,10.0,10690,0.623809814453125,0.5123240976315012,2.859,364.815,45.82,10690,distilbert/distilbert-base-uncased,glue,cola,True,unipelt
10,saad,2024-07-23 17:51:20.484545,0.3159,9.843120574951172,0.0,10.0,10690,0.623809814453125,0.5123240976315012,2.84,367.254,46.127,10690,distilbert/distilbert-base-uncased,glue,cola,True,unipelt
0,saad,2024-07-23 17:51:20.484545,0.5649,2.4576125144958496,4.5e-05,1.0,1069,0.5578348636627197,0.3583911603189156,2.1239,491.078,61.679,1069,distilbert/distilbert-base-uncased,glue,cola,True,lora
1,saad,2024-07-23 17:51:20.484545,0.5148,2.160588264465332,4e-05,2.0,2138,0.5149144530296326,0.4018510441279232,2.0876,499.606,62.75,2138,distilbert/distilbert-base-uncased,glue,cola,True,lora
2,saad,2024-07-23 17:51:20.484545,0.4893,3.388958692550659,3.5e-05,3.0,3207,0.5100095272064209,0.40472010656139895,2.1326,489.08,61.428,3207,distilbert/distilbert-base-uncased,glue,cola,True,lora
3,saad,2024-07-23 17:51:20.484545,0.475,3.0865325927734375,3e-05,4.0,4276,0.5659675002098083,0.40686271625095977,2.0937,498.156,62.568,4276,distilbert/distilbert-base-uncased,glue,cola,True,lora
4,saad,2024-07-23 17:51:20.484545,0.4672,6.653927326202393,2.5e-05,5.0,5345,0.5207915306091309,0.42682064874774595,2.1111,494.063,62.054,5345,distilbert/distilbert-base-uncased,glue,cola,True,lora
5,saad,2024-07-23 17:51:20.484545,0.4608,3.5286881923675537,2e-05,6.0,6414,0.5017330646514893,0.4317159414067962,2.0859,500.022,62.802,6414,distilbert/distilbert-base-uncased,glue,cola,True,lora
6,saad,2024-07-23 17:51:20.484545,0.45,3.720674514770508,1.5e-05,7.0,7483,0.5084529519081116,0.44046633552465836,2.1021,496.17,62.319,7483,distilbert/distilbert-base-uncased,glue,cola,True,lora
7,saad,2024-07-23 17:51:20.484545,0.4485,5.419609069824219,1e-05,8.0,8552,0.5167393684387207,0.44510697839859065,2.104,495.719,62.262,8552,distilbert/distilbert-base-uncased,glue,cola,True,lora
8,saad,2024-07-23 17:51:20.484545,0.444,5.62694787979126,5e-06,9.0,9621,0.5044989585876465,0.45166271483009557,2.094,498.094,62.56,9621,distilbert/distilbert-base-uncased,glue,cola,True,lora
9,saad,2024-07-23 17:51:20.484545,0.4396,3.7022147178649902,0.0,10.0,10690,0.5173315405845642,0.4420898648237221,2.0825,500.847,62.906,10690,distilbert/distilbert-base-uncased,glue,cola,True,lora
10,saad,2024-07-23 17:51:20.484545,0.4396,3.7022147178649902,0.0,10.0,10690,0.5173315405845642,0.4420898648237221,2.0944,497.984,62.546,10690,distilbert/distilbert-base-uncased,glue,cola,True,lora
0,saad,2024-07-23 17:51:20.484545,0.5376,4.921117782592773,4.5e-05,1.0,1069,0.5396642088890076,0.42440981210667367,2.3036,452.773,56.868,1069,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu
1,saad,2024-07-23 17:51:20.484545,0.4596,5.533193588256836,4e-05,2.0,2138,0.47771647572517395,0.45317860878756877,2.2547,462.594,58.101,2138,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu
2,saad,2024-07-23 17:51:20.484545,0.4028,2.4870128631591797,3.5e-05,3.0,3207,0.5069724917411804,0.46871201961605585,2.2729,458.895,57.637,3207,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu
3,saad,2024-07-23 17:51:20.484545,0.3542,10.475106239318848,3e-05,4.0,4276,0.6125545501708984,0.45672417708659324,2.2796,457.536,57.466,4276,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu
4,saad,2024-07-23 17:51:20.484545,0.3226,11.819634437561035,2.5e-05,5.0,5345,0.6473065614700317,0.4943270618905556,2.3052,452.458,56.828,5345,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu
5,saad,2024-07-23 17:51:20.484545,0.2972,13.877861976623535,2e-05,6.0,6414,0.6181920170783997,0.521042375798462,2.2738,458.699,57.612,6414,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu
6,saad,2024-07-23 17:51:20.484545,0.2603,0.7426134943962097,1.5e-05,7.0,7483,0.7543684244155884,0.5078984340867797,2.2926,454.935,57.139,7483,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu
7,saad,2024-07-23 17:51:20.484545,0.2438,0.5147832036018372,1e-05,8.0,8552,0.7674713730812073,0.527030919825672,2.2844,456.583,57.347,8552,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu
8,saad,2024-07-23 17:51:20.484545,0.2282,0.877734363079071,5e-06,9.0,9621,0.8215998411178589,0.511966124544359,2.2693,459.616,57.727,9621,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu
9,saad,2024-07-23 17:51:20.484545,0.2085,5.9036641120910645,0.0,10.0,10690,0.8720617294311523,0.5165560626605169,2.2956,454.341,57.065,10690,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu
10,saad,2024-07-23 17:51:20.484545,0.2085,5.9036641120910645,0.0,10.0,10690,0.8720617294311523,0.5165560626605169,2.2651,460.459,57.833,10690,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu
0,saad,2024-07-23 17:51:20.484545,0.5272,5.23825740814209,4.5e-05,1.0,1069,0.5291453003883362,0.4130889956247439,2.2482,463.922,58.268,1069,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh
1,saad,2024-07-23 17:51:20.484545,0.4278,1.8931310176849365,4e-05,2.0,2138,0.4984028935432434,0.47687475656453593,2.2248,468.798,58.881,2138,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh
2,saad,2024-07-23 17:51:20.484545,0.3581,1.9872151613235474,3.5e-05,3.0,3207,0.5678941607475281,0.4971870184034438,2.2496,463.636,58.232,3207,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh
3,saad,2024-07-23 17:51:20.484545,0.305,9.820808410644531,3e-05,4.0,4276,0.7285929322242737,0.49093361462198726,2.2769,458.083,57.535,4276,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh
4,saad,2024-07-23 17:51:20.484545,0.2676,11.468934059143066,2.5e-05,5.0,5345,0.7170335054397583,0.5115958993985192,2.2594,461.619,57.979,5345,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh
5,saad,2024-07-23 17:51:20.484545,0.2439,12.747148513793945,2e-05,6.0,6414,0.76366126537323,0.5062113421265578,2.253,462.931,58.144,6414,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh
6,saad,2024-07-23 17:51:20.484545,0.2051,0.44575029611587524,1.5e-05,7.0,7483,0.9060928225517273,0.4928616186320675,2.2572,462.083,58.037,7483,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh
7,saad,2024-07-23 17:51:20.484545,0.1887,0.08525992929935455,1e-05,8.0,8552,0.8911268711090088,0.5033485542799104,2.2547,462.585,58.1,8552,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh
8,saad,2024-07-23 17:51:20.484545,0.171,1.9301711320877075,5e-06,9.0,9621,1.0005364418029785,0.5189989527034775,2.2705,459.367,57.696,9621,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh
9,saad,2024-07-23 17:51:20.484545,0.1524,0.8679824471473694,0.0,10.0,10690,1.0686208009719849,0.5037970015010991,2.2507,463.413,58.204,10690,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh
10,saad,2024-07-23 17:51:20.484545,0.1524,0.8679824471473694,0.0,10.0,10690,1.0686208009719849,0.5037970015010991,2.25,463.562,58.223,10690,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh
0,saad,2024-07-23 17:51:20.484545,0.5853,1.4299416542053223,4.5e-05,1.0,1069,0.5738521218299866,0.17149186027319527,2.1229,491.305,61.708,1069,distilbert/distilbert-base-uncased,glue,cola,True,ia3
1,saad,2024-07-23 17:51:20.484545,0.5597,1.5263878107070923,4e-05,2.0,2138,0.5643144249916077,0.2686484562113039,2.1102,494.27,62.08,2138,distilbert/distilbert-base-uncased,glue,cola,True,ia3
2,saad,2024-07-23 17:51:20.484545,0.5484,2.90153431892395,3.5e-05,3.0,3207,0.555313229560852,0.3217270271986097,2.1131,493.586,61.994,3207,distilbert/distilbert-base-uncased,glue,cola,True,ia3
3,saad,2024-07-23 17:51:20.484545,0.5412,1.5701026916503906,3e-05,4.0,4276,0.5933156609535217,0.2694811177512579,2.1226,491.378,61.717,4276,distilbert/distilbert-base-uncased,glue,cola,True,ia3
4,saad,2024-07-23 17:51:20.484545,0.5391,4.383176803588867,2.5e-05,5.0,5345,0.5810371041297913,0.28906310612945313,2.0863,499.924,62.79,5345,distilbert/distilbert-base-uncased,glue,cola,True,ia3
5,saad,2024-07-23 17:51:20.484545,0.5347,2.57387638092041,2e-05,6.0,6414,0.5568284392356873,0.3290953532442224,2.1213,491.676,61.754,6414,distilbert/distilbert-base-uncased,glue,cola,True,ia3
6,saad,2024-07-23 17:51:20.484545,0.5311,2.0793561935424805,1.5e-05,7.0,7483,0.5590282082557678,0.3290953532442224,2.0951,497.824,62.526,7483,distilbert/distilbert-base-uncased,glue,cola,True,ia3
7,saad,2024-07-23 17:51:20.484545,0.5309,3.611666202545166,1e-05,8.0,8552,0.5557997226715088,0.33558396590427036,2.1273,490.285,61.579,8552,distilbert/distilbert-base-uncased,glue,cola,True,ia3
8,saad,2024-07-23 17:51:20.484545,0.5276,3.3120288848876953,5e-06,9.0,9621,0.5536835789680481,0.3319552079370063,2.1393,487.552,61.236,9621,distilbert/distilbert-base-uncased,glue,cola,True,ia3
9,saad,2024-07-23 17:51:20.484545,0.5289,2.104295015335083,0.0,10.0,10690,0.5583287477493286,0.3362412593406067,2.1086,494.631,62.125,10690,distilbert/distilbert-base-uncased,glue,cola,True,ia3
10,saad,2024-07-23 17:51:20.484545,0.5289,2.104295015335083,0.0,10.0,10690,0.5583287477493286,0.3362412593406067,2.1189,492.243,61.825,10690,distilbert/distilbert-base-uncased,glue,cola,True,ia3
0,saad,2024-07-23 17:51:20.484545,0.608,4.531960487365723,4.5e-05,1.0,1069,0.6131383180618286,0.0,2.2576,461.992,58.026,1069,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning
1,saad,2024-07-23 17:51:20.484545,0.6018,1.2026318311691284,4e-05,2.0,2138,0.6087989211082458,0.0,2.2426,465.094,58.415,2138,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning
2,saad,2024-07-23 17:51:20.484545,0.5969,3.002575635910034,3.5e-05,3.0,3207,0.6012656688690186,0.0,2.2625,461.003,57.902,3207,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning
3,saad,2024-07-23 17:51:20.484545,0.5931,1.9896992444992065,3e-05,4.0,4276,0.6243245601654053,0.0,2.2555,462.425,58.08,4276,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning
4,saad,2024-07-23 17:51:20.484545,0.5934,1.9727293252944946,2.5e-05,5.0,5345,0.6072748899459839,0.0463559874942472,2.2646,460.56,57.846,5345,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning
5,saad,2024-07-23 17:51:20.484545,0.5898,1.873828649520874,2e-05,6.0,6414,0.5988157391548157,0.08036809130702588,2.251,463.341,58.195,6414,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning
6,saad,2024-07-23 17:51:20.484545,0.5859,2.8134074211120605,1.5e-05,7.0,7483,0.5962090492248535,0.0463559874942472,2.2473,464.121,58.293,7483,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning
7,saad,2024-07-23 17:51:20.484545,0.5841,2.6558609008789062,1e-05,8.0,8552,0.5954915285110474,0.04161454566059593,2.2584,461.83,58.005,8552,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning
8,saad,2024-07-23 17:51:20.484545,0.584,2.610344886779785,5e-06,9.0,9621,0.5954237580299377,0.0592680243795702,2.2533,462.877,58.137,9621,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning
9,saad,2024-07-23 17:51:20.484545,0.587,2.999122142791748,0.0,10.0,10690,0.5954628586769104,0.0592680243795702,2.2562,462.275,58.061,10690,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning
10,saad,2024-07-23 17:51:20.484545,0.587,2.999122142791748,0.0,10.0,10690,0.5954628586769104,0.0592680243795702,2.2606,461.388,57.95,10690,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning
